Parcelle,n_cep,symptomes,date,picture_name,cep_name,position_cm,distance_for_GU,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,72-90,ES3,28/7/21,U24,72-90D,44.5,-11,rootstock,rootstock,AS,trunk_S,8.24,,,,,475,,,,,0,475,"146,941,404","57,645,631","146,941,404",0,0,0,
III-5,72-90,ES3,28/7/21,U25,72-90D,46,-12.5,rootstock,rootstock,AS,trunk_S,"7,841",,,,,995,,,,,0,995,0,"126,897,079",0,0,0,0,
III-5,72-90,ES3,28/7/21,U26,72-90D,48,-14.5,rootstock,rootstock,AS,trunk_S,"7,092",,,,,681,,,,,0,681,"63,172,672","96,023,689","63,172,672",0,0,0,
III-5,72-90,ES3,28/7/21,U27,72-90D,50,-16.5,rootstock,rootstock,AS,trunk_S,"6,927",,0.361,,,,,,,,0.361,0,"83,297,243",0,"3,118,233","47,437,582",0,0,
III-5,72-90,ES3,28/7/21,U28,72-90D,52,-18.5,rootstock,rootstock,AS,trunk_S,"7,288",,,,,526,,,,,0,526,0,"72,173,436",0,0,0,0,
III-5,72-90,ES3,28/7/21,U29,72-90D,53.5,-20,rootstock,rootstock,AS,trunk_S,"6,453",,,,,433,,,,,0,433,0,"67,100,573",0,0,0,0,
III-5,72-90,ES3,28/7/21,U30,72-90D,55,-21.5,rootstock,rootstock,AS,trunk_S,"6,734",,,,,568,,,,,0,568,0,"84,348,084",0,0,0,0,
III-6,32-2,ES2,22/7/21,D02,32-2D,2,39,arm,D_arm,S,,"14,008","2,271",0.448,0.152,,"4,132",,,,,2271.6,"4,132","290,704,739","2,949,743","229,951,397","58,869,908","19,973,719",0,
III-6,32-2,ES2,22/7/21,D03,32-2D,2,37,arm,D_arm,S,,"13,744","2,864",0.446,,,"4,999",,,,,2864.446,"4,999","378,502,001","363,722,352","327,501,429","58,607,096",0,0,
III-6,32-2,ES2,22/7/21,D04,32-2D,3,36,arm,D_arm,S,,"12,723","1,637",0.513,,,"4,596",,,,,1637.513,"4,596","264,550,265","361,235,558","201,427,341","67,411,301",0,0,
III-6,32-2,ES2,22/7/21,D05,32-2D,4,35,arm,D_arm,S,,"14,686","2,939",0.897,,,4.52,,,,,2939.897,4.52,"377,336,219","307,776,113","289,100,925","117,871,222",0,0,
III-6,32-2,ES2,22/7/21,D06,32-2D,6,33,arm,D_arm,S,,"18,181","2,230","1,180",,,"6,601","3,172",,,,3410,"9,773","405,566,127","537,539,189","265,223,597","155,059,133",0,0,
III-6,32-2,ES2,22/7/21,D07,32-2D,8,31,arm,D_arm,S,,17.66,0.536,"1,412",0.126,,"5,743",358,,,,1412.662,"6,101","179,427,286","345,469,989","46,370,793","185,545,335","16,557,162",0,
III-6,32-2,ES2,22/7/21,D08,32-2D,10,29,arm,D_arm,S,,"16,089","3,436","1,511",,,"5,681",,,,,4947,"5,681","475,307,456","35,309,839","330,130,669","198,554,534",0,0,
III-6,32-2,ES2,22/7/21,D09,32-2D,12,27,arm,D_arm,S,,"14,971","2,931",0.825,,,"4,014","1,847",,,,2931.825,"5,861","412,294,182","391,490,214","321,734,358","108,409,987",0,0,
III-6,32-2,ES2,22/7/21,D10,32-2D,16,23,arm,D_arm,S,,"16,042","4,068","1,042",,,"5,344",334,,,,5110,"5,678","493,052,875","353,945,892","392,512,543","136,925,099",0,0,
III-6,32-2,ES2,22/7/21,U17,32-2D,17.5,21.5,transition,transition,transition,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U18,32-2D,19.5,19.5,transition,transition,transition,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U19,32-2D,21.5,17.5,trunk,trunk,S,,"21,265","2,962","2,106","2,978",,,,,,,8046,0,"378,368,211",0,"139,289,913","27,674,113","391,327,201",0,
III-6,32-2,ES2,22/7/21,U20,32-2D,24.5,14.5,trunk,trunk,S,,"17,827","5,754","1,828",,,,,,,,7582,0,"425,309,923",0,"322,768,834","24,021,025",0,0,
III-6,32-2,ES2,22/7/21,U21,32-2D,26.5,12.5,trunk,trunk,S,,"17,295","5,039","1,892",,,,,,,,6931,0,"400,751,662",0,"291,355,883","248,620,237",0,0,
III-6,32-2,ES2,22/7/21,U22,32-2D,28.5,10.5,trunk,trunk,S,,"17,737","5,230","1,987",,,,,,,,7217,0,"406,889,553",0,"294,863,844","261,103,811",0,0,
III-6,32-2,ES2,22/7/21,U23,32-2D,31,8,trunk,trunk,S,,"16,476","4,898","1,689",,,,,,,,6587,0,"399,793,639",0,"297,280,893","221,944,809",0,0,
III-6,32-2,ES2,22/7/21,U24,32-2D,33.5,5.5,trunk,trunk,S,,"16,873","5,437","1,663",,,,,,,,7100,0,"420,790,612",0,"322,230,783","218,528,252",0,0,
III-6,32-2,ES2,22/7/21,U25,32-2D,35.5,3.5,trunk,trunk,S,,"18,213","4,114","1,758","1,507",,654,0.19,,,,7379,844,"424,837,354","46,340,526","236,858,771","231,011,827","198,028,909",0,
III-6,32-2,ES2,22/7/21,U26,32-2D,37.5,1.5,trunk,trunk,S,,"23,335","6,952","2,997",,,"1,561","1,516",287,,,9949,"3,364","49,817,235","144,161,131","348,104,752","393,823,916",0,0,
III-6,32-2,ES2,22/7/21,U27,32-2D,39,0,GU,GU,S,,"23,499","7,497","3,634",,,"1,801",899,415,,,11131,"3,115","546,065,542","132,558,832","367,788,462","477,529,566",0,0,
III-6,32-2,ES2,22/7/21,U28,32-2D,41,-2,GU,GU,S,,"24,196","6,147","3,087",,,,,,,,9234,0,"381,633,328",0,"254,050,256","40,565,046",0,0,
III-6,32-2,ES2,22/7/21,U29,32-2D,42,-3,rootstock,rootstock,S,,22.8,"3,916","2,520",,,,,,,,6436,0,"282,280,702",0,"171,754,386","331,143,233",0,0,
III-6,32-2,ES2,22/7/21,U30,32-2D,44,-5,rootstock,rootstock,S,,"18,456","4,193","3,429",,,0.78,,,,,7622,0.78,"431,206,155","42,262,679","237,214,302","450,591,327",0,0,
III-6,32-2,ES2,22/7/21,U31,32-2D,46.5,-7.5,rootstock,rootstock,S,,"16,607","3,045","1,177",,,874,687,0.31,283,85,4222,"2,239","293,847,439","134,822,665","211,929,287","154,664,915",0,0,
III-6,32-2,ES2,22/7/21,U32,32-2D,48.5,-9.5,rootstock,rootstock,S,,"16,825","3,027","2,119",,,722,691,,,,5146,"1,413","333,895,666","83,982,169","196,405,398","278,449,409",0,0,
III-6,32-2,ES2,22/7/21,U33,32-2D,50.5,-11.5,rootstock,rootstock,S,,"14,849","1,183","1,644",,,148,,,,,2827,148,"192,299,844","9,967,001","80,470,716","216,031,537",0,0,
III-6,32-2,ES2,22/7/21,U34,32-2D,52.5,-13.5,rootstock,rootstock,S,,"13,501",0.878,"1,047",,,,,,,,1047.878,0,"142,582,031",0,"6,503,222","137,582,129",0,0,
III-6,32-2,ES2,22/7/21,U35,32-2D,54.5,-15.5,rootstock,rootstock,S,,"13,341","1,412",0.833,,,,,,,,1412.833,0,"16,827,824",0,"105,839,142","109,461,235",0,0,
III-6,32-2,ES2,22/7/21,U3,32-2U,3,50,arm,U_arm,S,,"8,174",0.859,0.975,,,,,,,,1.834,0,"224,369,954",0,"105,089,308","128,120,894",0,0,
III-6,32-2,ES2,22/7/21,U4,32-2U,5,48,arm,U_arm,S,,"10,025","1,598","1,067",0.25,,"1,053",,,,,2665.25,"1,053","324,899,688","105,037,406","178,109,675","14,021,025","32,851,511",0,
III-6,32-2,ES2,22/7/21,U5,32-2U,7,46,arm,U_arm,S,,"12,448","2,035",0.763,0.142,0.73,"1,118",1.74,286,,,2036.635,"3,144","323,839,209","252,570,694","21,872,313","100,262,812","18,659,658","9,592,641",
III-6,32-2,ES2,22/7/21,U6,32-2U,9.5,43.5,arm,U_arm,S,,NA,NA,NA,NA,,NA,,,,,0,0,NA,NA,NA,NA,NA,0,
III-6,32-2,ES2,22/7/21,U7,32-2U,12,41,arm,U_arm,S,,"13,287","2,503",0.973,0.104,,"5,385",,,,,2504.077,"5,385",NA,NA,NA,"127,858,081","13,666,229",0,
III-6,32-2,ES2,22/7/21,U8,32-2U,14,39,arm,U_arm,S,,"14,041","1,757","1,176",,,"5,942",,,,,2933,"5,942","399,319,265","447,204,034","239,210,347","154,533,509",0,0,
III-6,32-2,ES2,22/7/21,U9,32-2U,15.5,37.5,arm,U_arm,S,,"14,791","1,464","1,286",,,"6,878",,,,,2750,"6,878","383,917,353","48,985,115","204,383,638","168,988,173",0,0,
III-6,32-2,ES2,22/7/21,U10,32-2U,17.5,35.5,arm,U_arm,S,,"14,118","1,431","1,631",,,"5,937",,,,,3062,"5,937","345,832,392","401,392,739","161,621,866","214,323,259",0,0,
III-6,32-2,ES2,22/7/21,U11,32-2U,19.5,33.5,arm,U_arm,S,,"15,243","1,382","3,343",,,"4,732","1,212",,,,4725,"5,944","508,119,153","389,949,485","148,618,131","439,290,407",0,0,
III-6,32-2,ES2,22/7/21,U12,32-2U,21.5,31.5,arm,U_arm,S,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U13,32-2U,23.5,29.5,arm,U_arm,S,,17.92,"1,743","1,791",,,"7,651",,,,,3534,"7,651","344,142,565","426,953,125","169,734,151","235,348,226",0,0,
III-6,32-2,ES2,22/7/21,U14,32-2U,25.5,27.5,arm,U_arm,S,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U15,32-2U,27.5,25.5,arm,U_arm,S,,"21,301","2,816","1,889",,,"9,832",158,,,,4705,9.99,"415,966,758","468,992,066","248,961,188","248,226,018",0,0,
III-6,32-2,ES2,22/7/21,U16,32-2U,29.5,23.5,arm,U_arm,S,,21.65,"2,086","2,181",,,"8,203",482,,,,4267,"8,685","329,116,853","401,154,734","160,894,717","286,596,583",0,0,
III-6,32-2,ES2,22/7/21,U17,32-2U,31.5,21.5,transition,transition,transition,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U18,32-2U,33,20,transition,transition,transition,,NA,NA,NA,,,NA,,,,,0,0,NA,NA,NA,NA,0,0,
III-6,32-2,ES2,22/7/21,U19,32-2U,35,18,trunk,trunk,S,,"21,265","2,962","2,106","2,978",,,,,,,8046,0,"378,368,211",0,"139,289,913","27,674,113","391,327,201",0,
III-6,32-2,ES2,22/7/21,U20,32-2U,37,16,trunk,trunk,S,,"17,827","5,754","1,828",,,,,,,,7582,0,"425,309,923",0,"322,768,834","24,021,025",0,0,
III-6,32-2,ES2,22/7/21,U21,32-2U,40,13,trunk,trunk,S,,"17,295","5,039","1,892",,,,,,,,6931,0,"400,751,662",0,"291,355,883","248,620,237",0,0,
III-6,32-2,ES2,22/7/21,U22,32-2U,42,11,trunk,trunk,S,,"17,737","5,230","1,987",,,,,,,,7217,0,"406,889,553",0,"294,863,844","261,103,811",0,0,
III-6,32-2,ES2,22/7/21,U23,32-2U,44,9,trunk,trunk,S,,"16,476","4,898","1,689",,,,,,,,6587,0,"399,793,639",0,"297,280,893","221,944,809",0,0,
III-6,32-2,ES2,22/7/21,U24,32-2U,46.5,6.5,trunk,trunk,S,,"16,873","5,437","1,663",,,,,,,,7100,0,"420,790,612",0,"322,230,783","218,528,252",0,0,
III-6,32-2,ES2,22/7/21,U25,32-2U,49,4,trunk,trunk,S,,"18,213","4,114","1,758","1,507",,654,0.19,,,,7379,844,"424,837,354","46,340,526","236,858,771","231,011,827","198,028,909",0,
III-6,32-2,ES2,22/7/21,U26,32-2U,51,2,trunk,trunk,S,,"23,335","6,952","2,997",,,"1,561","1,516",287,,,9949,"3,364","49,817,235","144,161,131","348,104,752","393,823,916",0,0,
III-6,32-2,ES2,22/7/21,U27,32-2U,53,0,GU,GU,S,,"23,499","7,497","3,634",,,"1,801",899,415,,,11131,"3,115","546,065,542","132,558,832","367,788,462","477,529,566",0,0,
III-6,32-2,ES2,22/7/21,U28,32-2U,54.5,-1.5,GU,GU,S,,"24,196","6,147","3,087",,,,,,,,9234,0,"381,633,328",0,"254,050,256","40,565,046",0,0,
III-6,32-2,ES2,22/7/21,U29,32-2U,56.5,-3.5,rootstock,rootstock,S,,22.8,"3,916","2,520",,,,,,,,6436,0,"282,280,702",0,"171,754,386","331,143,233",0,0,
III-6,32-2,ES2,22/7/21,U30,32-2U,57.5,-4.5,rootstock,rootstock,S,,"18,456","4,193","3,429",,,0.78,,,,,7622,0.78,"431,206,155","42,262,679","237,214,302","450,591,327",0,0,
III-6,32-2,ES2,22/7/21,U31,32-2U,59.5,-6.5,rootstock,rootstock,S,,"16,607","3,045","1,177",,,874,687,0.31,283,85,4222,"2,239","293,847,439","134,822,665","211,929,287","154,664,915",0,0,
III-6,32-2,ES2,22/7/21,U32,32-2U,62,-9,rootstock,rootstock,S,,"16,825","3,027","2,119",,,722,691,,,,5146,"1,413","333,895,666","83,982,169","196,405,398","278,449,409",0,0,
III-6,32-2,ES2,22/7/21,U33,32-2U,64,-11,rootstock,rootstock,S,,"14,849","1,183","1,644",,,148,,,,,2827,148,"192,299,844","9,967,001","80,470,716","216,031,537",0,0,
III-6,32-2,ES2,22/7/21,U34,32-2U,66,-13,rootstock,rootstock,S,,"13,501",0.878,"1,047",,,,,,,,1047.878,0,"142,582,031",0,"6,503,222","137,582,129",0,0,
III-6,32-2,ES2,22/7/21,U35,32-2U,68,-15,rootstock,rootstock,S,,"13,341","1,412",0.833,,,,,,,,1412.833,0,"16,827,824",0,"105,839,142","109,461,235",0,0,
III-6,33-2,ES1,27/7/21,D1,33-2D,-3,46,arm,D_arm,AS,NA,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D2,33-2D,-1,44,arm,D_arm,AS,NA,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D3,33-2D,0,43,arm,D_arm,AS,,??,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,D4,33-2D,1,42,arm,D_arm,AS,,"15,376",0.145,,,,"5,116",,,,,0.145,"5,116","14,132,554","332,726,327","14,132,554",0,0,0,
III-6,33-2,ES1,27/7/21,D5,33-2D,2,41,arm,D_arm,AS,,15.08,0.248,,,,"3,079",,,,,0.248,"3,079","20,664,945","204,177,719","20,664,945",0,0,0,
III-6,33-2,ES1,27/7/21,D6,33-2D,4,39,arm,D_arm,AS,,"16,349",,,,,"4,668",,,,,0,"4,668",0,"28,552,205",0,0,0,0,
III-6,33-2,ES1,27/7/21,D7,33-2D,5,38,arm,D_arm,AS,,15.29,,,,,"2,208",,,,,0,"2,208",0,"14,440,811",0,0,0,0,
III-6,33-2,ES1,27/7/21,D8,33-2D,8,35,arm,D_arm,AS,,"15,181",,,,,"1,448",,,,,0,"1,448",0,"95,382,386",0,0,0,0,
III-6,33-2,ES1,27/7/21,D9,33-2D,10,33,arm,D_arm,AS,,"18,084",,,,,285,251,,,,0,536,0,"2,963,946",0,0,0,0,
III-6,33-2,ES1,27/7/21,D10,33-2D,12,31,arm,D_arm,AS,,"21,108",,,,,"1,895","1,288","1,252",209,,0,"4,644",0,"22,001,137",0,0,0,0,
III-6,33-2,ES1,27/7/21,D11,33-2D,14,29,arm,D_arm,AS,,"16,669",,,,,"1,797",557,,,,0,"2,354",0,"141,220,229",0,0,0,0,
III-6,33-2,ES1,27/7/21,D12,33-2D,16,27,arm,D_arm,AS,,"12,925",,,,,0.13,,,,,0,0.13,0,"10,058,027",0,0,0,0,
III-6,33-2,ES1,27/7/21,D13,33-2D,18,25,arm,D_arm,AS,,"12,207",,,,,,,,,,0,0,0,0,0,0,0,0,
III-6,33-2,ES1,27/7/21,U20,33-2D,20,23,transition,transition,AS,,NA,NA,,,,NA,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U21,33-2D,22,21,transition,transition,AS,,NA,NA,,,,NA,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U22,33-2D,23,20,trunk,trunk,AS,,23.13,,,,,,,,,,0,0,"39,213,143",0,"39,213,143",0,0,0,
III-6,33-2,ES1,27/7/21,U23,33-2D,25,18,trunk,trunk,AS,,17.89,,,,,,,,,,0,0,"44,046,954",0,"44,046,954",0,0,0,
III-6,33-2,ES1,27/7/21,U24,33-2D,27,16,trunk,trunk,AS,,"17,942",,,,,208,,,,,0,208,"4,984,775","1,159,291","4,984,775",0,0,0,
III-6,33-2,ES1,27/7/21,U25,33-2D,29,14,trunk,trunk,AS,,"15,978",,,,,"1,745",,,,,0,"1,745","54,591,442","109,212,667","54,591,442",0,0,0,
III-6,33-2,ES1,27/7/21,U26,33-2D,31,12,trunk,trunk,AS,,"16,994",,,,,,,,,,0,0,"47,428,504",0,"47,428,504",0,0,0,
III-6,33-2,ES1,27/7/21,U27,33-2D,33,10,trunk,trunk,AS,,"18,876",,,,,,,,,,0,0,"26,859,504",0,"26,859,504",0,0,0,
III-6,33-2,ES1,27/7/21,U28,33-2D,35,8,trunk,trunk,AS,,"16,059",,,,,,,,,,0,0,"31,197,459",0,"31,197,459",0,0,0,
III-6,33-2,ES1,27/7/21,U29,33-2D,37,6,trunk,trunk,AS,,"16,977",,,,,,,,,,0,0,"28,214,643",0,"28,214,643",0,0,0,
III-6,33-2,ES1,27/7/21,U30,33-2D,39,4,trunk,trunk,AS,,"16,733",,,,,,,,,,0,0,"31,255,603",0,"27,908,922","7,358,739",0,0,
III-6,33-2,ES1,27/7/21,U31,33-2D,41,2,trunk,trunk,AS,,"17,348",,,,,,,,,,0,0,"2,691,953",0,"2,691,953",0,0,0,
III-6,33-2,ES1,27/7/21,U32,33-2D,43,0,GU,GU,AS,,"18,433",,,,,441,,,,,0,441,"27,345,487","23,924,483","27,345,487",0,0,0,
III-6,33-2,ES1,27/7/21,U33,33-2D,45,-2,GU,GU,AS,,"21,388",,,,,"1,493",0.3,,,,0,"1,793","26,843,583","83,832,055","18,831,335","20,630,749",0,0,
III-6,33-2,ES1,27/7/21,U34,33-2D,47,-4,GU,GU,AS,,"21,494",,,0.153,,0.71,311,257,,,0.153,"1,278","42,144,836","59,458,454","21,814,404","3,390,276","20,105,125",0,
III-6,33-2,ES1,27/7/21,U35,33-2D,49,-6,rootstock,rootstock,AS,,"21,817",,,,,854,625,,,,0,"1,479","1,180,057","67,791,172","1,180,057",0,0,0,
III-6,33-2,ES1,27/7/21,U36,33-2D,51,-8,rootstock,rootstock,AS,,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U37,33-2D,53,-10,rootstock,rootstock,AS,,"14,343",,,,,"3,221",146,,,,0,"3,367",0,"234,748,658",0,0,0,0,
III-6,33-2,ES1,27/7/21,U38,33-2D,55,-12,rootstock,rootstock,AS,,"14,263",,,,,"2,075",677,153,134,,0,"3,039",0,"213,068,779",0,0,0,0,
III-6,33-2,ES1,27/7/21,U39,33-2D,57,-14,NA,NA,AS,,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U40,33-2D,59,-16,NA,NA,AS,,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U41,33-2D,61,-18,NA,NA,AS,,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U42,33-2D,63,-20,NA,NA,AS,,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U43,33-2D,65,-22,rootstock,rootstock,AS,,"13,377",,,,,0.74,,,,,0,0.74,0,"55,318,831",0,0,0,0,
III-6,33-2,ES1,27/7/21,U44,33-2D,67,-24,rootstock,rootstock,AS,,"12,365",,,,,996,,,,,0,996,0,"80,549,939",0,0,0,0,
III-6,33-2,ES1,27/7/21,U1,33-2U,0,62,arm,U_arm,NA,NA,NA,,,,,,,,,,0,0,NA,NA,NA,0,0,0,
III-6,33-2,ES1,27/7/21,U2,33-2U,1,60,arm,U_arm,S,,"8,928","3,219",,,,577,71,,,,3219,648,"388,768,116","72,580,645","388,768,116",0,0,0,
III-6,33-2,ES1,27/7/21,U3,33-2U,3,58,arm,U_arm,S,,"9,167",2.7,0.568,0.182,0.165,,,,,,3.615,0,"394,349,296",0,"294,534,744","74,638,633","239,159","21,681,997",
III-6,33-2,ES1,27/7/21,U4,33-2U,5,56,arm,U_arm,S,,"15,554","2,311",,,,"3,597","1,217",,,,2311,"4,814","215,176,909","309,502,379","215,176,909",0,0,0,
